meal_id,name,category,ingredient,description,veg_nonveg,nutrient,disease,diet,price,user_id
meal_id_1,Paneer Roastie,paneer,"1 Cup Suji 1 cup Curd  1/4 cup Capsicum, finely chopped 1/4 cup Onion, finely chopped 1-inch   Ginger, finely chopped 1 tsp Garlic, finely chopped 2  Green Chillies, finely chopped 1/4 cup Carrot, finely chopped 1/4 cup Beans, finely chopped 150 gram Paneer, grated 1 tsp Chilli flakes 1/2 tsp Coriander Powder 1/2 tsp Black Pepper Powwder  to taste Salt  2 tbsp Oil 2 tbsp Coriander Leaves, finely chopped 1/2 tsp Jeera  A pinch of Hing 1/4 tsp Turmeric 7-8  Currt Leaves 1 tsp Mustard Seeds 11/2 cup Water 1 Pack  Fruit Salt",https://food.ndtv.com/recipe-paneer-roastie-958027,veg,iron sodium iodine magnesium chloride copper phosphorus,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,680,6
meal_id_2,Lauki Besan Cheela,besan,"1 Cup lauki (bottle gourd), grated 1 1/2 cup besan (chickpea flour) 1/4 tsp haldi (turmeric) 1/4 tsp hing (asafoetida) 1/2 tsp ginger garlic paste 1/2 tsp ajwain (carom seeds) 1/2 tsp jeera powder (cumin) 1 tsp red chilli powder 1 tsp til (white sesame seeds) 1  onion, finely chopped 1  tomato, finely chopped 1/2  capsicum, finely chopped (optional) 1/2 cup coriander leaves, finely chopped 2  green chillies, finely chopped  to taste salt   Pinch of sugar 1 tsp oil    Ghee/ Oil for cooking cheela",https://food.ndtv.com/recipe-lauki-besan-cheela-958023,veg,iron sodium iodine chloride,anemia scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,530,17
meal_id_3,Paneer Paratha,paneer,"<b>For dough: </b> 2 cups Whole Wheat flour (atta 2/3 cups Water  1 tsp Ghee  <b>For stuffing: </b> 200 gram Paneer  2 tbsp Onion, finely chopped 2 tbsp Coriander, finely chopped 1  Green Chillies, finely chopped 1 tsp Red Chilli Powder  1/2 tsp Salt    Ghee or oil for roasting ",https://food.ndtv.com/recipe-paneer-paratha-958018,veg,iron sodium iodine carbohydrates chloride phosphorus,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,310,89
meal_id_4,Makhana Dosa,dosa,"1 Cup roasted makhana 1 cup rava (sooji or semolina) 1/2 cup poha 1/2 cup thick curds (dahi) 1 cup water, or as required   ½ tsp salt, or as required 1/2  fruit salt (optional)",https://food.ndtv.com/recipe-makhana-dosa-958002,veg,sodium iodine chloride,heart_disease kidney_disease goitre obesity,vegan_diet low_sodium_diet,650,99
meal_id_5,Persian Roasted Egg Plant Salad,salad,"2  eggplants  2  onions , chopped 2  tomatoes , chopped 2  green chillies , chopped 3-4  garlic cloves, chopped 1 1/2 tsp cumin/cumin powder  1 tsp oregano  1 tsp red chili powder 1 tsp coriander  2 tsp yogurt    Fresh lemon juice    Freshly chopped coriander    Oil   to taste Salt ",https://food.ndtv.com/recipe-persian-roasted-egg-plant-salad-957998,non_veg,iron calcium sodium iodine vitamin_c vitamin_a vitamin_k chloride fiber,anemia diabeties scurvy eye_disease rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet omni_diet dash_diet mediterranean_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet low_carb_diet ketogenic_diet,680,39
meal_id_6,Multigrain Cheela,carrot,"2 Tbsp Ragi Flour 2 Tbsp Gram Flour 2 Tbsp Oats 2 Tbsp Suji 1 Tbsp Onion  1  Green Chillies, finely chopped 1 Tbsp Carrot , finely chopped 1/2 Inch  Ginger 1 Tbsp Capsicum, finely chopped 2 Tbsp Oil",https://food.ndtv.com/recipe-multigrain-cheela-957973,veg,iron carbohydrates,anemia scurvy diabeties heart_disease obesity goitre pregnancy,vegan_diet low_fat_diet ketogenic_diet high_protien_diet,610,58
meal_id_7,Indian Style Kachumber Salad,salad,"1  Onion (diced ) 1  tomato (diced ) 1  cucumber  (diced ) 2  green chillis    1 fresh lemon  1/2 cup pomegranate seeds    fresh coriander leaves, chopped 1/2 tsp black pepper and red chili powder   Salt as per taste ",https://food.ndtv.com/recipe-indian-style-kachumber-salad-957966,veg,iron sodium iodine magnesium chloride copper fiber,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet dash_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,335,98
meal_id_8,Foxtail Millet Pulao,pulao,"1 Cup foxtail millet 2 cups water 2 tbsp oil 1  onion, chopped   2 cloves garlic, minced 1 tsp cumin seeds 1 tsp coriander powder 1/2 tsp turmeric powder 1/2 tsp red chili powder (optional) 1 cup vegetables (such as carrots, peas, and bell peppers), chopped   Salt to taste 1/4 cup fresh coriander leaves, finely chopped",https://food.ndtv.com/recipe-foxtail-millet-pulao-957959,veg,sodium iodine magnesium carbohydrates chloride potassium copper,diabeties heart_disease hypertension obesity goitre kidney_disease pregnancy,vegan_diet low_sodium_diet low_fat_diet high_protien_diet,330,69
meal_id_9,Kodo Millet Upma,upma,"1 Cup kodo millet 2 cups water 2 tbsp oil 1 tsp rai (mustard seeds) 10-12  curry leaves 1  onion, chopped 1  green chili, finely chopped   1/2 inch piece of ginger, grated 1/2 tsp turmeric powder   Salt to taste 1/4 cup fresh coriander leaves, finely chopped 1/4 cup roasted peanuts 1/2 cup mixed veggies (such as carrots, peas, beans, green capsicum, dudhi, cabbage, broccoli, etc.)",https://food.ndtv.com/recipe-kodo-millet-upma-957958,veg,iron sodium iodine chloride,anemia scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,225,76
meal_id_10,Jowar Upma,upma,"1 Cups jowar 1 tsp mustard seeds 1 tsp urad dal 1  Onion, finely chopped 1/4 cup boiled green peas 2  green chillies (slit or chopped)   Pinch of asafoetida (heeng) 1 inch  ginger , finely chopped   Coriander leaves (for garnish) 6  curry leaves 1 tbsp Lemon juice   Salt to taste 2 tbsp oil",https://food.ndtv.com/recipe-jowar-upma-957946,veg,iron sodium iodine magnesium chloride copper,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,200,92
